Name,Address,Province,City,Postal Code,Telephone,Email,Find or become a mentor to a newcomer,Francophone service provider,Help finding a job,Help preparing for the citizenship test,Help with daily life,Job-specific language training,Language assessment,Language training (general),Other Services,Services for LGBTQ2,Services for refugees,Services for seniors,Services for women,Services for youth
British Columbia Construction Association,405-655 Tyee Road  ,British Columbia,Victoria,V9A 6X5,250-475-1077,chris.atchison@bccassn.com,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Brooks and County Immigration Services (BCIS) - CCIS is Umbrella organization,Unit 2 - 500 Cassils Road E,Alberta,Brooks,T1R 1M6,403-362-0235, ,True,False,True,True,True,False,False,False,True,False,True,False,False,False
Burnaby Neighbourhood House,4460 Beresford St Burnaby BC,British Columbia,Vancouver,V5H 0B8,604-431-0400,info@burnabynh.ca,True,False,False,False,True,False,False,False,False,False,False,True,False,True
Caledon Community Services,18 King Street East,Ontario,Caledon,L7E 1E8,905-584-9460,engage@ccs4u.org,False,False,False,False,True,False,False,True,True,False,False,False,False,False
Calgary Bridge Foundation for Youth - Country Hills Library,5920 Macleod Trail SW Suite 620,Alberta,Calgary,T3K 6E3,403-260-2600,ureddy@cbfy.ca,True,False,False,False,False,False,False,False,True,False,False,False,False,True
Calgary Bridge Foundation For Youth - Education Centre CBE,1221 8 Street SW,Alberta,Calgary,T2R 0L4,403-230-7745, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Calgary Bridge Foundation for Youth - Macleod Place 1,5920 Macleod Trail SW,Alberta,Calgary,T2H 0K2,403-230-7745,ureddy@cbfy.ca,True,False,False,False,True,False,False,False,False,False,False,False,False,True
Calgary Bridge Foundation for Youth - St. John Reception,15 12 Street NW ,Alberta,Calgary,T2N IY4,403-230-7745,ureddy@cbfy.ca,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Calgary Bridge Foundation for Youth - Village Square Library,2623 56 Street NE ,Alberta,Calgary,T1Y 6E7,403-260-2600,ureddy@cbfy.ca,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Calgary Catholic Immigration Society,2nd Floor 609 Centre Street,Alberta,High River,T1V 1R7,403-362-0236, ,True,False,True,False,True,False,False,False,True,False,True,False,False,True
Calgary Catholic Immigration Society,Bay 2 – 500 Cassils Road East,Alberta,Brooks,T1R 1M6,403-362-0404,info@bcisbrooks.ca,True,False,True,True,True,False,False,False,True,False,True,False,False,True
Calgary Catholic Immigration Society,87 Elizabeth Street Bay 2,Alberta,Okotoks,T1S 1B3,403-362-0235, ,True,False,True,False,True,False,False,False,True,False,True,False,False,True
Calgary Catholic Immigration Society (CCIS),1111 11 Avenue SW 5th Floor,Alberta,Calgary,T2R 0G5,403-262-2006,contact@ccisab.ca,True,False,True,False,True,True,False,True,False,True,True,True,False,True
Calgary Catholic Immigration Society (CCIS),501 400 Crowfoot Crescent NW,Alberta,Calgary,T3G 5H6,587-391-3386, ,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Calgary Catholic Immigration Society (CCIS) - High River Branch (FCIS),2nd Floor 9A 710 Centre Street SE,Alberta,High River,T1V 0H3,403-652-5325, ,True,False,False,False,True,False,False,False,True,False,True,False,False,True
Calgary Catholic Immigration Society (CCIS) - Okotoks Branch (FCIS),Office 4 Bay 2 87 Elizabeth Street,Alberta,Okotoks,T1S 1B3,403-938-4699, ,True,False,False,False,True,False,False,False,True,False,True,False,False,True
Calgary Immigrant Women's Association (CIWA),138 - 4th Avenue SE Suite 200,Alberta,Calgary,T2G 4Z6,403-263-4414, ,True,False,True,False,True,True,False,True,True,False,False,True,True,True
Calgary Region Immigrant Employment Council,880 105 12 Avenue SE ,Alberta,Calgary,T2G 1A1,587-894-7580, ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Camosun College,3100 Foul Bay Road Victoria BC ,British Columbia,Victoria,V8P 5J2,250-370-4683,plant@camosun.bc.ca,False,False,True,False,True,False,False,False,False,False,False,False,True,False
Canadian Centre for Language and Cultural Studies Inc.,1921 Eglinton Avenue East 2nd floor,Ontario,Toronto,M1L 2L6,416-755-0406, ,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Canadian Centre for Language and Cultural Studies Inc.,5734 Yonge Street 2nd Floor,Ontario,Toronto,M2M 4E7,416-223-6613, ,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Canadian Centre for Language and Cultural Studies Inc.,635 Markham Street 2nd Floor,Ontario,Toronto,M6G 2M1,416-588-3900, ,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Canadian Centre for Victims of Torture,1527 Victoria Park Avenue East,Ontario,Toronto,M1L 2T3,416-750-9600, ,True,False,True,True,True,False,False,False,True,True,True,True,True,True
Canadian Centre for Victims of Torture,194 Jarvis Street 12th Floor,Ontario,Toronto,M5B 2B7,416-363-1066, ,True,False,True,True,True,False,False,True,True,True,True,True,True,True
Canadian Centre for Victims of Torture,2401 Eglinton Avenue East Unit 310,Ontario,Toronto,M1K 2N8,416-750-3045, ,True,False,True,True,True,False,False,False,True,True,True,True,True,True
Canadian Mental Health Association ,1101 Nicholson Rd Unit 5,Ontario,Newmarket,L3Y9C3,905-841-3977,yorkregion@cmha-yr.on.ca,True,False,False,False,True,False,False,False,True,False,True,False,False,False
Canadian Mothercraft Society,646 St.Clair Avenue West,Ontario,Toronto,M6C 1A9,416-483-0511, ,False,False,True,False,True,True,False,True,False,False,False,False,False,False
Canadian Tourism Human Resource Council,4-71 Bank Street,Ontario,Ottawa,K1P 5N2,613-231-6949,info@tourismhr.ca,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Canadian Ukrainian Immigrant Aid Society,2383 Bloor Street 2nd Floor,Ontario,Toronto,M6S 1P6,416-767-4595,cuias@cuias.org,False,False,False,False,True,False,False,True,False,False,False,False,False,False
Canadian Ukrainian Immigrant Aid Society,540 Finch Avenue West Unit 131,Ontario,Toronto,M2R 1N7,416-225-0511,cuias@cuias.org,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Canus Trading Ltd.,202 - 7337 137 St.  ,British Columbia,Surrey,V3W 1A4,604-507-4150, ,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Canus Trading Ltd.,202 - 7337 137th Street,British Columbia,Surrey,V3W 1A6,604-507-4150, ,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Canus Trading Ltd.,208 – 2525 Commercial Drive,British Columbia,Vancouver,V5N 4C1,604-876-5756, ,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Cape Breton Regional Library,50 Falmouth Street,Nova Scotia,Sydney,B1P 6X9,902-562-3279,info@cbrl.ca,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Capilano University: Pemberton Welcome Centre,7390A Cottonwood Street,British Columbia,Pemberton,V0N 2L1,604-698-5960,info@welcomepemberton.ca,True,False,True,True,True,False,False,True,False,False,True,False,False,False
Capilano University: Squamish Welcome Centre,38027 Cleveland Ave.,British Columbia,Squamish,V8B 0B8,604-567-2222, ,True,False,True,True,True,False,False,True,False,False,True,False,False,False
Capilano University: Sunshine Coast Welcoming Communities,5627 Inlet Avenue,British Columbia,Sechelt,V0N 3A0,604-212-2716,info@welcoming-communities.ca,True,False,True,True,True,False,False,True,False,False,False,False,False,False
Capilano University: Whistler Welcome Centre,4329 Main Street,British Columbia,Whistler,V8E 1B2,604-698-5960, ,True,False,True,True,True,False,False,True,False,False,True,False,False,False
Cariboo Chilcotin Partners for Literacy Society,#100 – 475 Birch Avenue P.O. Box 1067,British Columbia,100 Mile House,V0K2E0,250-395-0655, ,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Cariboo Chilcotin Partners for Literacy Society,118 C 1st Ave North,British Columbia,WILLIAMS LAKE,V2G1Y8,250-392-7833, ,False,False,False,False,True,False,True,True,False,False,False,False,False,False
Carizon Family and Community Services,400 Queen Street South,Ontario,Kitchener,N2G 1W7,519-743-6333, ,True,False,False,False,True,False,False,False,False,True,True,True,True,True
Carlton Trail College,611- 17th Street Box 720 ,Saskatchewan,Humboldt,S0K 2A0,306-682-2623,information@carltontrailcollege.com,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Carrefour Nunavut,Bldg 723 P.O. Box 909,Nunavut,Iqaluit,X0A0H0,867-979-2800,info@carrefournunavut.ca,False,True,False,False,True,False,True,True,True,False,False,False,True,True
Catholic Centre for Immigrants,219 Argyle Avenue Suite 500,Ontario,Ottawa,K2P 2H4,613-232-9634, ,True,False,True,False,True,False,False,False,False,False,True,False,False,True
Catholic Centre for Immigrants- Reception House,204 Boteler Street,Ontario,Ottawa,K1N 5A7,613-232-9634, ,True,False,False,False,True,False,False,False,False,False,True,False,False,False
Catholic Community Services of York Region,1 Atkinson Street,Ontario,Richmond Hill,L4C 0H5,1-877-761-1155,info@welcomecentre.ca,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Catholic Community Services of York Region,16655 Yonge Street Unit 26,Ontario,Markham,L3X 1V6,1-877-761-1155,info@welcomecentre.ca,True,False,True,False,True,False,False,False,True,False,False,False,False,False
Catholic Community Services of York Region,21 Dunlop Street,Ontario,Richmond Hill,L4C 2M6,905-770-7040,counselling@ccsyr.org,True,False,False,False,True,False,False,False,False,True,True,True,False,True
Catholic Community Services of York Region,320 Bloomington Road West,Ontario,Aurora,L4G 0M1,1-877-761-1155,info@welcomecentre.ca,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Catholic Community Services of York Region,475 Brownridge Drive,Ontario,Thornhill,L4J 5Y6,1-877-761-1155,info@welcomecentre.ca,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Catholic Community Services of York Region,60 Wellington Street West Box 40,Ontario,Aurora,L4G 2V3,1-877-761-1155,info@welcomecentre.ca,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Catholic Community Services of York Region,7220 Kennedy Road,Ontario,Markham,L3R 4N7,1-877-761-1155,info@welcomecentre.ca,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Catholic Community Services of York Region,8400 Woodbine Avenue Suite 102-103,Ontario,Markham,L3R 4N7,1-877-761-1155,info@welcomecentre.ca,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Catholic Community Services of York Region,9325 Yonge Street,Ontario,Richmond Hill,L4C 0A8,1-877-761-1155,inp@ccsyr.org,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Catholic Community Services of York Region,Angus Glen Library 3990 Major Mackenzie Drive East,Ontario,Markham,L6P 1P8,1-877-761-1155,info@welcomecentre.ca,False,False,True,False,False,False,False,False,False,False,False,False,False,False
